,Index,LVL1,LVL2,LVL3,LVL4,LVL5,LVL6,NodeID,NodeType,CategoryID,FieldID,InstanceID,RelatedFieldID,NodeName
52,52,2,6,2,0,0,0,2.6.2.0.0.0.0.0,sub,100.0,,,,Brain MRI
53,53,2,6,3,0,0,0,2.6.3.0.0.0.0.0,sub,102.0,,,,Heart MRI
54,54,2,5,12,0,0,0,2.5.12.0.0.0.0.0,sub,100028.0,,,,Lights pattern memory
55,55,2,5,13,0,0,0,2.5.13.0.0.0.0.0,sub,100077.0,,,,Word production
56,56,2,6,4,0,0,0,2.6.4.0.0.0.0.0,sub,103.0,,,,DXA assessment
57,57,1,1,1,0,0,0,1.1.1.0.0.0.0.0,sub,76.0,,,,Indices of Multiple Deprivation
58,58,1,1,2,0,0,0,1.1.2.0.0.0.0.0,leaf,,21022.0,,,Age at recruitment
59,60,1,1,4,0,0,0,1.1.4.0.0.0.0.0,leaf,,52.0,,,Month of birth
60,61,1,1,5,0,0,0,1.1.5.0.0.0.0.0,leaf,,34.0,,,Year of birth
61,62,1,1,6,0,0,0,1.1.6.0.0.0.0.0,leaf,,31.0,,,Sex
62,63,1,1,7,0,0,0,1.1.7.0.0.0.0.0,leaf,,189.0,,,Townsend deprivation index at recruitment
63,68,2,2,1,0,0,0,2.2.1.0.0.0.0.0,sub,100062.0,,,,Sociodemographics
64,69,2,2,2,0,0,0,2.2.2.0.0.0.0.0,sub,100050.0,,,,Lifestyle and environment
65,70,2,2,3,0,0,0,2.2.3.0.0.0.0.0,sub,100033.0,,,,Early life factors
66,71,2,2,4,0,0,0,2.2.4.0.0.0.0.0,sub,100034.0,,,,Family history
67,72,2,2,5,0,0,0,2.2.5.0.0.0.0.0,sub,100059.0,,,,Psychosocial factors
68,73,2,2,6,0,0,0,2.2.6.0.0.0.0.0,sub,100036.0,,,,Health and medical history
69,74,2,2,7,0,0,0,2.2.7.0.0.0.0.0,sub,100068.0,,,,Sex-specific factors
70,75,2,3,1,0,0,0,2.3.1.0.0.0.0.0,sub,100072.0,,,,Early life factors
71,76,2,3,2,0,0,0,2.3.2.0.0.0.0.0,sub,100073.0,,,,Employment
72,77,2,3,3,0,0,0,2.3.3.0.0.0.0.0,sub,100074.0,,,,Medical conditions
73,78,2,3,4,0,0,0,2.3.4.0.0.0.0.0,sub,100075.0,,,,Medications
74,79,2,3,5,0,0,0,2.3.5.0.0.0.0.0,sub,100076.0,,,,Operations
75,80,2,1,1,0,0,0,2.1.1.0.0.0.0.0,sub,100024.0,,,,Reception
76,81,2,1,2,0,0,0,2.1.2.0.0.0.0.0,sub,100023.0,,,,Consent
77,82,2,1,3,0,0,0,2.1.3.0.0.0.0.0,sub,100022.0,,,,Conclusion
78,83,2,8,1,0,0,0,2.8.1.0.0.0.0.0,sub,129.0,,,,Process completion times
79,84,2,8,2,0,0,0,2.8.2.0.0.0.0.0,sub,152.0,,,,Process durations
80,85,2,8,3,0,0,0,2.8.3.0.0.0.0.0,sub,127.0,,,,Process authorisation
81,92,7,3,2,0,0,0,7.3.2.0.0.0.0.0,leaf,,40000.0,,,Date of death
82,93,7,3,3,0,0,0,7.3.3.0.0.0.0.0,leaf,,40007.0,,,Age at death
83,94,7,3,4,0,0,0,7.3.4.0.0.0.0.0,leaf,,40001.0,,,Underlying (primary) cause of death: ICD10
84,97,7,3,7,0,0,0,7.3.7.0.0.0.0.0,leaf,,40002.0,,,Contributory (secondary) causes of death: ICD10
85,98,7,3,8,0,0,0,7.3.8.0.0.0.0.0,leaf,,40010.0,,,Description of cause of death
86,100,2,4,1,0,0,0,2.4.1.0.0.0.0.0,sub,100011.0,,,,Blood pressure
87,101,2,4,2,0,0,0,2.4.2.0.0.0.0.0,sub,101.0,,,,Carotid ultrasound
88,102,2,4,3,0,0,0,2.4.3.0.0.0.0.0,sub,100007.0,,,,Arterial stiffness
89,103,2,4,4,0,0,0,2.4.4.0.0.0.0.0,sub,100049.0,,,,Hearing test
90,104,2,4,5,0,0,0,2.4.5.0.0.0.0.0,sub,100013.0,,,,Eye measures
91,105,2,4,6,0,0,0,2.4.6.0.0.0.0.0,sub,100019.0,,,,Hand grip strength
92,106,2,4,7,0,0,0,2.4.7.0.0.0.0.0,sub,100008.0,,,,Anthropometry
93,107,2,4,8,0,0,0,2.4.8.0.0.0.0.0,sub,100018.0,,,,Bone-densitometry of heel
94,108,2,4,9,0,0,0,2.4.9.0.0.0.0.0,sub,100020.0,,,,Spirometry
95,110,7,4,2,0,0,0,7.4.2.0.0.0.0.0,leaf,,40009.0,,,Reported occurrences of cancer
96,111,2,4,10,0,0,0,2.4.10.0.0.0.0.0,sub,104.0,,,,"ECG at rest, 12-lead"
97,112,2,4,11,0,0,0,2.4.11.0.0.0.0.0,sub,100012.0,,,,ECG during exercise
98,113,7,4,3,0,0,0,7.4.3.0.0.0.0.0,leaf,,40005.0,,,Date of cancer diagnosis
99,114,7,4,4,0,0,0,7.4.4.0.0.0.0.0,leaf,,40008.0,,,Age at cancer diagnosis
100,115,7,4,5,0,0,0,7.4.5.0.0.0.0.0,leaf,,40006.0,,,Type of cancer: ICD10
101,117,4,3,1,0,0,0,4.3.1.0.0.0.0.0,sub,181.0,,,,BGI WGS pilot
102,118,4,3,2,0,0,0,4.3.2.0.0.0.0.0,sub,182.0,,,,Broad WGS pilot
103,119,7,4,7,0,0,0,7.4.7.0.0.0.0.0,leaf,,40013.0,,,Type of cancer: ICD9
104,120,7,4,8,0,0,0,7.4.8.0.0.0.0.0,leaf,,40011.0,,,Histology of cancer tumour
105,122,7,4,10,0,0,0,7.4.10.0.0.0.0.0,leaf,,40012.0,,,Behaviour of cancer tumour
106,124,7,1,1,0,0,0,7.1.1.0.0.0.0.0,sub,3001.0,,,,Record-level access
107,135,4,1,1,0,0,0,4.1.1.0.0.0.0.0,sub,100315.0,,,,Genotype Results
108,136,4,1,2,0,0,0,4.1.2.0.0.0.0.0,sub,100319.0,,,,Imputation
109,137,4,1,3,0,0,0,4.1.3.0.0.0.0.0,sub,100035.0,,,,HLA
110,138,4,1,4,0,0,0,4.1.4.0.0.0.0.0,sub,100313.0,,,,Genotyping process and sample QC
111,139,4,1,5,0,0,0,4.1.5.0.0.0.0.0,sub,199001.0,,,,Interim genotype release
112,140,3,2,1,0,0,0,3.2.1.0.0.0.0.0,sub,100085.0,,,,Blood sample inventory
113,141,3,2,2,0,0,0,3.2.2.0.0.0.0.0,sub,100086.0,,,,Saliva sample inventory
114,142,3,2,3,0,0,0,3.2.3.0.0.0.0.0,sub,100087.0,,,,Urine sample inventory
115,143,3,1,1,0,0,0,3.1.1.0.0.0.0.0,sub,100080.0,,,,Blood assays
116,144,3,1,2,0,0,0,3.1.2.0.0.0.0.0,sub,100082.0,,,,Saliva assays
117,145,3,1,3,0,0,0,3.1.3.0.0.0.0.0,sub,100083.0,,,,Urine assays
118,146,7,2,1,0,0,0,7.2.1.0.0.0.0.0,sub,2006.0,,,,Record-level access
119,147,7,2,2,0,0,0,7.2.2.0.0.0.0.0,sub,2002.0,,,,Summary Diagnoses
120,148,7,2,3,0,0,0,7.2.3.0.0.0.0.0,sub,2005.0,,,,Summary Operations
121,149,7,2,4,0,0,0,7.2.4.0.0.0.0.0,sub,2003.0,,,,Summary Maternity
122,150,7,2,5,0,0,0,7.2.5.0.0.0.0.0,sub,2004.0,,,,Summary Psychiatric
123,151,7,2,6,0,0,0,7.2.6.0.0.0.0.0,sub,2001.0,,,,Summary Administration
124,152,2,6,4,1,0,0,2.6.4.1.0.0.0.0,sub,125.0,,,,"Bone size, mineral and density by DXA"
125,153,2,6,4,2,0,0,2.6.4.2.0.0.0.0,sub,124.0,,,,Body composition by DXA
126,203,3,1,3,1,0,0,3.1.3.1.0.0.0.0,sub,148.0,,,,Urine processing
127,217,3,1,1,1,0,0,3.1.1.1.0.0.0.0,sub,100081.0,,,,Blood count
128,218,3,1,1,2,0,0,3.1.1.2.0.0.0.0,sub,17518.0,,,,Blood biochemistry
129,219,3,1,1,3,0,0,3.1.1.3.0.0.0.0,sub,51428.0,,,,Infectious Diseases
130,291,3,1,1,3,1,0,3.1.1.3.1.0.0.0,sub,1307.0,,,,Infectious Disease Antigens
131,440,3,1,1,2,1,0,3.1.1.2.1.0.0.0,sub,18518.0,,,,Blood biochemistry processing
132,446,3,1,1,1,1,0,3.1.1.1.1.0.0.0,sub,9081.0,,,,Blood count processing
133,2381,7,2,2,5,0,0,7.2.2.5.0.0.0.0,leaf,,41202.0,,,Diagnoses - main ICD10
134,2383,7,2,2,7,0,0,7.2.2.7.0.0.0.0,leaf,,41203.0,,,Diagnoses - main ICD9
135,2403,7,2,2,9,0,0,7.2.2.9.0.0.0.0,leaf,,41204.0,,,Diagnoses - secondary ICD10
136,2404,7,2,2,10,0,0,7.2.2.10.0.0.0.0,leaf,,41205.0,,,Diagnoses - secondary ICD9
137,2535,4,1,5,1,0,0,4.1.5.1.0.0.0.0,sub,100316.0,,,,Genotype confidences
138,2536,4,1,5,2,0,0,4.1.5.2.0.0.0.0,sub,100317.0,,,,Genotyping intensities
139,3008,2,4,9,1,0,0,2.4.9.1.0.0.0.0,leaf,,20031.0,,,Acceptability of each blow result (text)
140,3009,2,4,9,2,0,0,2.4.9.2.0.0.0.0,leaf,,20042.0,,,Reason for skipping spirometry
141,3010,2,4,9,3,0,0,2.4.9.3.0.0.0.0,leaf,,20032.0,,,Acceptability of each blow result (text) (pilot)
142,3015,2,4,9,4,0,0,2.4.9.4.0.0.0.0,leaf,,20152.0,,,Reproduciblity of spirometry measurement using ERS/ATS criteria
143,3016,2,4,9,5,0,0,2.4.9.5.0.0.0.0,leaf,,3088.0,,,Contra-indications for spirometry
144,3017,2,4,9,6,0,0,2.4.9.6.0.0.0.0,leaf,,3089.0,,,Caffeine drink within last hour
145,3018,2,4,9,7,0,0,2.4.9.7.0.0.0.0,leaf,,3090.0,,,Used an inhaler for chest within last hour
146,3023,2,4,9,8,0,0,2.4.9.8.0.0.0.0,leaf,,3159.0,,,Smoked cigarette or pipe within last hour
147,3024,2,4,9,9,0,0,2.4.9.9.0.0.0.0,leaf,,23.0,,,Spirometry method
148,3025,2,4,9,10,0,0,2.4.9.10.0.0.0.0,leaf,,3137.0,,,Number of measurements made
149,3032,2,4,9,13,0,0,2.4.9.13.0.0.0.0,leaf,,3065.0,,,Ordering of blows
150,3033,2,4,9,14,0,0,2.4.9.14.0.0.0.0,leaf,,3059.0,,,Result ranking
151,3034,2,4,9,15,0,0,2.4.9.15.0.0.0.0,leaf,,10691.0,,,Result ranking (pilot)
152,3039,2,4,9,16,0,0,2.4.9.16.0.0.0.0,leaf,,3066.0,,,Data points for blow
153,3040,2,4,9,17,0,0,2.4.9.17.0.0.0.0,leaf,,10711.0,,,Spirometry method (pilot)
154,3041,2,4,9,18,0,0,2.4.9.18.0.0.0.0,leaf,,10697.0,,,Data points for blow (pilot)
155,3045,2,4,7,1,0,0,2.4.7.1.0.0.0.0,sub,100010.0,,,,Body size measures
156,3046,2,4,7,2,0,0,2.4.7.2.0.0.0.0,sub,100009.0,,,,Impedance measures
157,3047,2,4,5,1,0,0,2.4.5.1.0.0.0.0,sub,100099.0,,,,Eye surgery/complications
158,3048,2,4,5,2,0,0,2.4.5.2.0.0.0.0,sub,100017.0,,,,Visual acuity
159,3049,2,4,5,3,0,0,2.4.5.3.0.0.0.0,sub,100014.0,,,,Autorefraction
160,3056,2,4,9,21,0,0,2.4.9.21.0.0.0.0,leaf,,3062.0,,,Forced vital capacity (FVC)
161,3057,2,4,9,22,0,0,2.4.9.22.0.0.0.0,leaf,,10694.0,,,Forced vital capacity (FVC) (pilot)
162,3060,2,4,5,4,0,0,2.4.5.4.0.0.0.0,sub,100015.0,,,,Intraocular pressure
163,3061,2,4,5,5,0,0,2.4.5.5.0.0.0.0,sub,100016.0,,,,Retinal optical coherence tomography
164,3066,2,4,9,23,0,0,2.4.9.23.0.0.0.0,leaf,,20151.0,,,"Forced vital capacity (FVC), Best measure"
165,3068,2,4,9,25,0,0,2.4.9.25.0.0.0.0,leaf,,3063.0,,,Forced expiratory volume in 1-second (FEV1)
166,3069,2,4,9,26,0,0,2.4.9.26.0.0.0.0,leaf,,10695.0,,,Forced expiratory volume in 1-second (FEV1) (pilot)
167,3079,2,4,9,27,0,0,2.4.9.27.0.0.0.0,leaf,,20150.0,,,"Forced expiratory volume in 1-second (FEV1), Best measure"
168,3080,2,4,9,28,0,0,2.4.9.28.0.0.0.0,leaf,,20153.0,,,"Forced expiratory volume in 1-second (FEV1), predicted"
169,3081,2,4,9,29,0,0,2.4.9.29.0.0.0.0,leaf,,20154.0,,,"Forced expiratory volume in 1-second (FEV1), predicted percentage"
170,3096,2,4,9,32,0,0,2.4.9.32.0.0.0.0,leaf,,3064.0,,,Peak expiratory flow (PEF)
171,3097,2,4,9,33,0,0,2.4.9.33.0.0.0.0,leaf,,10696.0,,,Peak expiratory flow (PEF) (pilot)
172,3164,2,4,9,7,0,0,2.4.9.7.0.0.0.0,inst,,3090.0,0.0,,Initial assessment visit (2006-2010) at which participants were recruited and consent given
173,3165,2,4,9,7,0,0,2.4.9.7.0.0.0.0,inst,,3090.0,1.0,,First repeat assessment visit (2012-13)
174,3166,2,4,9,7,0,0,2.4.9.7.0.0.0.0,inst,,3090.0,2.0,,Imaging visit (2014+)
175,3380,2,4,9,32,0,0,2.4.9.32.0.0.0.0,inst,,3064.0,0.0,,Initial assessment visit (2006-2010) at which participants were recruited and consent given
176,3381,2,4,9,32,0,0,2.4.9.32.0.0.0.0,inst,,3064.0,1.0,,First repeat assessment visit (2012-13)
177,3382,2,4,9,32,0,0,2.4.9.32.0.0.0.0,inst,,3064.0,2.0,,Imaging visit (2014+)
178,3490,2,4,9,25,0,0,2.4.9.25.0.0.0.0,inst,,3063.0,0.0,,Initial assessment visit (2006-2010) at which participants were recruited and consent given
179,3491,2,4,9,25,0,0,2.4.9.25.0.0.0.0,inst,,3063.0,1.0,,First repeat assessment visit (2012-13)
180,3492,2,4,9,25,0,0,2.4.9.25.0.0.0.0,inst,,3063.0,2.0,,Imaging visit (2014+)
181,3563,2,4,9,21,0,0,2.4.9.21.0.0.0.0,inst,,3062.0,0.0,,Initial assessment visit (2006-2010) at which participants were recruited and consent given
182,3564,2,4,9,21,0,0,2.4.9.21.0.0.0.0,inst,,3062.0,1.0,,First repeat assessment visit (2012-13)
183,3565,2,4,9,21,0,0,2.4.9.21.0.0.0.0,inst,,3062.0,2.0,,Imaging visit (2014+)
184,3704,2,4,7,1,1,0,2.4.7.1.1.0.0.0,leaf,,20046.0,,,Reason for skipping hip measurement
185,3705,2,4,7,1,2,0,2.4.7.1.2.0.0.0,leaf,,20048.0,,,Reason for skipping sitting height
186,3706,2,4,7,1,3,0,2.4.7.1.3.0.0.0,leaf,,20047.0,,,Reason for skipping standing height
187,3707,2,4,7,2,1,0,2.4.7.2.1.0.0.0,leaf,,23098.0,,,Weight
188,3708,2,4,7,2,2,0,2.4.7.2.2.0.0.0,leaf,,23104.0,,,Body mass index (BMI)
189,3709,2,4,7,2,3,0,2.4.7.2.3.0.0.0,leaf,,23113.0,,,Leg fat-free mass (right)
190,3715,2,4,7,1,4,0,2.4.7.1.4.0.0.0,leaf,,20045.0,,,Reason for skipping waist
191,3716,2,4,7,1,5,0,2.4.7.1.5.0.0.0,leaf,,20041.0,,,Reason for skipping weight
192,3717,2,4,7,1,6,0,2.4.7.1.6.0.0.0,leaf,,12144.0,,,Height
193,3718,2,4,7,1,7,0,2.4.7.1.7.0.0.0,leaf,,12143.0,,,Weight (pre-imaging)
194,3719,2,4,7,2,4,0,2.4.7.2.4.0.0.0,leaf,,23118.0,,,Leg predicted mass (left)
195,3720,2,4,7,2,5,0,2.4.7.2.5.0.0.0,leaf,,23114.0,,,Leg predicted mass (right)
196,3721,2,4,7,2,6,0,2.4.7.2.6.0.0.0,leaf,,23123.0,,,Arm fat percentage (left)
197,3722,2,4,7,2,7,0,2.4.7.2.7.0.0.0,leaf,,23119.0,,,Arm fat percentage (right)
198,3729,2,4,7,1,8,0,2.4.7.1.8.0.0.0,leaf,,48.0,,,Waist circumference
199,3730,2,4,7,1,9,0,2.4.7.1.9.0.0.0,leaf,,21002.0,,,Weight
200,3731,2,4,7,1,10,0,2.4.7.1.10.0.0.0,leaf,,21001.0,,,Body mass index (BMI)
201,3732,2,4,7,1,11,0,2.4.7.1.11.0.0.0,leaf,,49.0,,,Hip circumference
202,3733,2,4,7,2,8,0,2.4.7.2.8.0.0.0,leaf,,23124.0,,,Arm fat mass (left)
203,3734,2,4,7,2,9,0,2.4.7.2.9.0.0.0,leaf,,23120.0,,,Arm fat mass (right)
204,3735,2,4,7,2,10,0,2.4.7.2.10.0.0.0,leaf,,23121.0,,,Arm fat-free mass (right)
205,3736,2,4,7,2,11,0,2.4.7.2.11.0.0.0,leaf,,23125.0,,,Arm fat-free mass (left)
206,3741,2,4,7,1,13,0,2.4.7.1.13.0.0.0,leaf,,50.0,,,Standing height
207,3744,2,4,7,2,12,0,2.4.7.2.12.0.0.0,leaf,,23126.0,,,Arm predicted mass (left)
208,3745,2,4,7,2,13,0,2.4.7.2.13.0.0.0,leaf,,23122.0,,,Arm predicted mass (right)
209,3746,2,4,7,2,14,0,2.4.7.2.14.0.0.0,leaf,,23127.0,,,Trunk fat percentage
210,3747,2,4,7,2,15,0,2.4.7.2.15.0.0.0,leaf,,23128.0,,,Trunk fat mass
211,3748,2,4,7,1,16,0,2.4.7.1.16.0.0.0,leaf,,20015.0,,,Sitting height
212,3751,2,4,7,1,19,0,2.4.7.1.19.0.0.0,leaf,,3160.0,,,"Weight, manual entry"
213,3752,2,4,7,2,16,0,2.4.7.2.16.0.0.0,leaf,,23129.0,,,Trunk fat-free mass
214,3753,2,4,7,2,17,0,2.4.7.2.17.0.0.0,leaf,,23130.0,,,Trunk predicted mass
215,3754,2,4,7,2,18,0,2.4.7.2.18.0.0.0,leaf,,23105.0,,,Basal metabolic rate
216,3755,2,4,7,2,19,0,2.4.7.2.19.0.0.0,leaf,,23099.0,,,Body fat percentage
217,3756,2,4,7,1,20,0,2.4.7.1.20.0.0.0,leaf,,21.0,,,Weight method
218,3761,2,4,7,2,20,0,2.4.7.2.20.0.0.0,leaf,,23100.0,,,Whole body fat mass
219,3762,2,4,7,2,21,0,2.4.7.2.21.0.0.0,leaf,,23101.0,,,Whole body fat-free mass
220,3763,2,4,7,2,22,0,2.4.7.2.22.0.0.0,leaf,,23102.0,,,Whole body water mass
221,3764,2,4,7,2,23,0,2.4.7.2.23.0.0.0,leaf,,23115.0,,,Leg fat percentage (left)
222,3765,2,4,7,2,24,0,2.4.7.2.24.0.0.0,leaf,,23111.0,,,Leg fat percentage (right)
223,3766,2,4,7,2,25,0,2.4.7.2.25.0.0.0,leaf,,23116.0,,,Leg fat mass (left)
224,3767,2,4,7,2,26,0,2.4.7.2.26.0.0.0,leaf,,23112.0,,,Leg fat mass (right)
225,3768,2,4,7,2,27,0,2.4.7.2.27.0.0.0,leaf,,23117.0,,,Leg fat-free mass (left)
226,3770,2,4,7,2,29,0,2.4.7.2.29.0.0.0,leaf,,23106.0,,,Impedance of whole body
227,3771,2,4,7,2,30,0,2.4.7.2.30.0.0.0,leaf,,23110.0,,,Impedance of arm (left)
228,3772,2,4,7,2,31,0,2.4.7.2.31.0.0.0,leaf,,23109.0,,,Impedance of arm (right)
229,3773,2,4,7,2,32,0,2.4.7.2.32.0.0.0,leaf,,23108.0,,,Impedance of leg (left)
230,3774,2,4,7,2,33,0,2.4.7.2.33.0.0.0,leaf,,23107.0,,,Impedance of leg (right)
231,3828,2,4,7,2,15,0,2.4.7.2.15.0.0.0,inst,,23128.0,0.0,,Initial assessment visit (2006-2010) at which participants were recruited and consent given
232,3829,2,4,7,2,15,0,2.4.7.2.15.0.0.0,inst,,23128.0,1.0,,First repeat assessment visit (2012-13)
233,3830,2,4,7,2,7,0,2.4.7.2.7.0.0.0,inst,,23119.0,0.0,,Initial assessment visit (2006-2010) at which participants were recruited and consent given
234,3831,2,4,7,2,7,0,2.4.7.2.7.0.0.0,inst,,23119.0,1.0,,First repeat assessment visit (2012-13)
235,3857,2,4,7,2,33,0,2.4.7.2.33.0.0.0,inst,,23107.0,0.0,,Initial assessment visit (2006-2010) at which participants were recruited and consent given
236,3858,2,4,7,2,33,0,2.4.7.2.33.0.0.0,inst,,23107.0,1.0,,First repeat assessment visit (2012-13)
237,3863,2,4,7,2,32,0,2.4.7.2.32.0.0.0,inst,,23108.0,0.0,,Initial assessment visit (2006-2010) at which participants were recruited and consent given
238,3864,2,4,7,2,32,0,2.4.7.2.32.0.0.0,inst,,23108.0,1.0,,First repeat assessment visit (2012-13)
239,3871,2,4,7,2,31,0,2.4.7.2.31.0.0.0,inst,,23109.0,0.0,,Initial assessment visit (2006-2010) at which participants were recruited and consent given
240,3872,2,4,7,2,31,0,2.4.7.2.31.0.0.0,inst,,23109.0,1.0,,First repeat assessment visit (2012-13)
241,3889,2,4,7,2,30,0,2.4.7.2.30.0.0.0,inst,,23110.0,0.0,,Initial assessment visit (2006-2010) at which participants were recruited and consent given
242,3890,2,4,7,2,30,0,2.4.7.2.30.0.0.0,inst,,23110.0,1.0,,First repeat assessment visit (2012-13)
243,3901,2,4,7,2,27,0,2.4.7.2.27.0.0.0,inst,,23117.0,0.0,,Initial assessment visit (2006-2010) at which participants were recruited and consent given
244,3902,2,4,7,2,27,0,2.4.7.2.27.0.0.0,inst,,23117.0,1.0,,First repeat assessment visit (2012-13)
245,3904,2,4,7,2,26,0,2.4.7.2.26.0.0.0,inst,,23112.0,0.0,,Initial assessment visit (2006-2010) at which participants were recruited and consent given
246,3905,2,4,7,2,26,0,2.4.7.2.26.0.0.0,inst,,23112.0,1.0,,First repeat assessment visit (2012-13)
247,3907,2,4,7,2,29,0,2.4.7.2.29.0.0.0,inst,,23106.0,0.0,,Initial assessment visit (2006-2010) at which participants were recruited and consent given
248,3908,2,4,7,2,29,0,2.4.7.2.29.0.0.0,inst,,23106.0,1.0,,First repeat assessment visit (2012-13)
249,3912,2,4,7,2,25,0,2.4.7.2.25.0.0.0,inst,,23116.0,0.0,,Initial assessment visit (2006-2010) at which participants were recruited and consent given
250,3913,2,4,7,2,25,0,2.4.7.2.25.0.0.0,inst,,23116.0,1.0,,First repeat assessment visit (2012-13)
